Date,Consumption [W],Solar [W],Always on [W],Import [W],Export [W]
2020-11-02 23:55:00,"2,287.2",0,250,"2,282.4",0
2020-11-02 23:50:00,"2,311.2",0,250,"2,306.4",0
2020-11-02 23:45:00,"2,290.8",0,250,"2,286",0
2020-11-02 23:40:00,"2,343.6",0,250,"2,340",0
2020-11-02 23:35:00,"2,419.2",0,250,"2,414.4",0
2020-11-02 23:30:00,"2,416.8",0,250,"2,412",0
2020-11-02 23:25:00,"2,478",0,250,"2,473.2",0
2020-11-02 23:20:00,"2,412",0,250,"2,407.2",0
2020-11-02 23:15:00,"2,647.2",0,250,"2,642.4",0
2020-11-02 23:10:00,602.4,0,250,598.8,0
2020-11-02 23:05:00,604.8,0,250,600,0
2020-11-02 23:00:00,"1,291.2",0,250,"1,287.6",0
2020-11-02 22:55:00,"1,442.4",0,250,"1,438.8",0
2020-11-02 22:50:00,"1,443.6",0,250,"1,438.8",0
2020-11-02 22:45:00,"1,438.8",0,250,"1,435.2",0
2020-11-02 22:40:00,"1,473.6",0,250,"1,470",0
2020-11-02 22:35:00,"1,474.8",0,250,"1,471.2",0
2020-11-02 22:30:00,"1,588.8",0,250,"1,585.2",0
2020-11-02 22:25:00,"1,490.4",0,250,"1,486.8",0
2020-11-02 22:20:00,"1,424.4",0,250,"1,420.8",0
2020-11-02 22:15:00,"1,406.4",0,250,"1,404",0
2020-11-02 22:10:00,"2,484",0,250,"2,480.4",0
2020-11-02 22:05:00,"3,247.2",0,250,"3,242.4",0
2020-11-02 22:00:00,"1,886.4",0,250,"1,881.6",0
2020-11-02 21:55:00,"1,538.4",0,250,"1,534.8",0
2020-11-02 21:50:00,"1,854",0,250,"1,850.4",0
2020-11-02 21:45:00,"2,461.2",0,250,"2,457.6",0
2020-11-02 21:40:00,"2,727.6",0,250,"2,724",0
2020-11-02 21:35:00,"2,864.4",0,250,"2,859.6",0
2020-11-02 21:30:00,"5,163.6",0,250,"5,160",0
2020-11-02 21:25:00,"3,789.6",0,250,"3,786",0
2020-11-02 21:20:00,"4,206",0,250,"4,202.4",0
2020-11-02 21:15:00,"2,515.2",0,250,"2,511.6",0
2020-11-02 21:10:00,"2,229.6",0,250,"2,226",0
2020-11-02 21:05:00,"2,593.2",0,250,"2,588.4",0
2020-11-02 21:00:00,"2,532",0,250,"2,528.4",0
2020-11-02 20:55:00,"1,652.4",0,250,"1,648.8",0
2020-11-02 20:50:00,"1,780.8",0,250,"1,777.2",0
2020-11-02 20:45:00,"2,016",0,250,"2,012.4",0
2020-11-02 20:40:00,"3,549.6",0,250,"3,544.8",0
2020-11-02 20:35:00,"4,050",0,250,"4,046.4",0
2020-11-02 20:30:00,"5,368.8",0,250,"5,364",0
2020-11-02 20:25:00,"4,455.6",0,250,"4,450.8",0
2020-11-02 20:20:00,"2,462.4",0,250,"2,460",0
2020-11-02 20:15:00,"1,568.4",0,250,"1,564.8",0
2020-11-02 20:10:00,"1,874.4",0,250,"1,870.8",0
