Date,Consumption [W],Solar [W],Always on [W],Import [W],Export [W]
2020-10-12 23:05:00,"2,440.8",0,109,"2,436",0
2020-10-12 23:00:00,"2,510.4",0,109,"2,505.6",0
2020-10-12 22:55:00,"2,552.4",0,109,"2,548.8",0
2020-10-12 22:50:00,"2,521.2",0,109,"2,516.4",0
2020-10-12 22:45:00,"2,466",0,109,"2,461.2",0
2020-10-12 22:40:00,"2,596.8",0,109,"2,592",0
2020-10-12 22:35:00,"2,640",0,109,"2,636.4",0
2020-10-12 22:30:00,"2,620.8",0,109,"2,616",0
2020-10-12 22:25:00,"2,506.8",0,109,"2,502",0
2020-10-12 22:20:00,"2,511.6",0,109,"2,508",0
2020-10-12 22:15:00,"2,548.8",0,109,"2,544",0
2020-10-12 22:10:00,"2,488.8",0,109,"2,484",0
2020-10-12 22:05:00,"2,426.4",0,109,"2,421.6",0
2020-10-12 22:00:00,"3,056.4",0,109,"3,051.6",0
2020-10-12 21:55:00,"3,045.6",0,109,"3,040.8",0
2020-10-12 21:50:00,"2,611.2",0,109,"2,606.4",0
2020-10-12 21:45:00,"3,421.2",0,109,"3,416.4",0
2020-10-12 21:40:00,"3,366",0,109,"3,362.4",0
2020-10-12 21:35:00,"2,754",0,109,"2,750.4",0
2020-10-12 21:30:00,"2,139.6",0,109,"2,134.8",0
2020-10-12 21:25:00,609.6,0,109,606,0
2020-10-12 21:20:00,698.4,0,109,694.8,0
2020-10-12 21:15:00,744,0,109,740.4,0
2020-10-12 21:10:00,"1,029.6",0,109,"1,026",0
2020-10-12 21:05:00,"1,526.4",0,109,"1,522.8",0
2020-10-12 21:00:00,"1,492.8",0,109,"1,489.2",0
2020-10-12 20:55:00,596.4,0,109,592.8,0
2020-10-12 20:50:00,606,0,109,602.4,0
2020-10-12 20:45:00,"1,316.4",0,109,"1,312.8",0
2020-10-12 20:40:00,"2,710.8",0,109,"2,706",0
2020-10-12 20:35:00,"2,439.6",0,109,"2,436",0
2020-10-12 20:30:00,"1,710",0,109,"1,705.2",0
2020-10-12 20:25:00,"2,325.6",0,109,"2,322",0
2020-10-12 20:20:00,"1,465.2",0,109,"1,461.6",0
2020-10-12 20:15:00,595.2,0,109,591.6,0
2020-10-12 20:10:00,854.4,0,109,850.8,0
2020-10-12 20:05:00,"1,480.8",0,109,"1,476",0
2020-10-12 20:00:00,684,0,109,679.2,0
2020-10-12 19:55:00,680.4,0,109,675.6,0
2020-10-12 19:50:00,"1,447.2",0,109,"1,442.4",0
2020-10-12 19:45:00,"2,811.6",0,109,"2,806.8",0
2020-10-12 19:40:00,"2,167.2",0,109,"2,163.6",0
2020-10-12 19:35:00,"1,302",0,109,"1,297.2",0
2020-10-12 19:30:00,"1,549.2",0,109,"1,544.4",0
2020-10-12 19:25:00,"1,482",0,109,"1,477.2",0
2020-10-12 19:20:00,670.8,0,109,667.2,0
2020-10-12 19:15:00,667.2,0,109,662.4,0
2020-10-12 19:10:00,"1,617.6",0,109,"1,614",0
2020-10-12 19:05:00,"5,004",0,109,"4,999.2",0
2020-10-12 19:00:00,"4,341.6",0,109,"4,336.8",0
2020-10-12 18:55:00,"2,820",0,109,"2,816.4",0
2020-10-12 18:50:00,"5,340",0,109,"5,335.2",0
2020-10-12 18:45:00,"5,068.8",0,109,"5,064",0
2020-10-12 18:40:00,"3,412.8",0,109,"3,408",0
2020-10-12 18:35:00,"3,193.2",0,109,"3,189.6",0
2020-10-12 18:30:00,"4,116",0,109,"4,111.2",0
2020-10-12 18:25:00,"4,305.6",0,109,"4,302",0
2020-10-12 18:20:00,"3,536.4",0,109,"3,531.6",0
2020-10-12 18:15:00,994.8,0,109,990,0
2020-10-12 18:10:00,"1,060.8",0,109,"1,057.2",0
2020-10-12 18:05:00,"1,430.4",0,109,"1,426.8",0
2020-10-12 18:00:00,775.2,0,109,771.6,0
2020-10-12 17:55:00,"1,310.4",0,109,"1,305.6",0
2020-10-12 17:50:00,"1,744.8",1.2,109,"1,736.4",0
2020-10-12 17:45:00,"2,713.2",54,109,"2,658",0
2020-10-12 17:40:00,"2,202",146.4,109,"2,054.4",0
2020-10-12 17:35:00,"1,263.6",205.2,109,"1,058.4",0
2020-10-12 17:30:00,"1,272",254.4,109,"1,017.6",0
2020-10-12 17:25:00,"1,327.2",291.6,109,"1,035.6",0
2020-10-12 17:20:00,"2,474.4",342,109,"2,132.4",0
2020-10-12 17:15:00,"2,390.4",354,109,"2,036.4",0
2020-10-12 17:10:00,"1,810.8",379.2,109,"1,431.6",0
2020-10-12 17:05:00,"2,439.6",441.6,109,"1,999.2",0
2020-10-12 17:00:00,"2,037.6",459.6,109,"1,578",0
2020-10-12 16:55:00,"1,016.4",619.2,109,397.2,0
2020-10-12 16:50:00,980.4,781.2,109,199.2,0
2020-10-12 16:45:00,"1,585.2",840,109,745.2,0
2020-10-12 16:40:00,"1,027.2",946.8,109,80.4,0
2020-10-12 16:35:00,986.4,"1,138.8",109,0,151.2
2020-10-12 16:30:00,"1,408.8","1,209.6",109,199.2,0
2020-10-12 16:25:00,"1,708.8","1,112.4",109,596.4,0
2020-10-12 16:20:00,"2,144.4","1,263.6",109,880.8,0
2020-10-12 16:15:00,"1,844.4","1,356",109,488.4,0
2020-10-12 16:10:00,"2,264.4","1,270.8",109,993.6,0
2020-10-12 16:05:00,"2,864.4","1,208.4",109,"1,656",0
2020-10-12 16:00:00,"3,061.2","1,179.6",109,"1,881.6",0
2020-10-12 15:55:00,"4,657.2","1,094.4",109,"3,564",0
2020-10-12 15:50:00,"2,992.8","1,118.4",109,"1,874.4",0
2020-10-12 15:45:00,"2,193.6","1,146",109,"1,047.6",0
2020-10-12 15:40:00,"1,783.2","1,042.8",109,740.4,0
2020-10-12 15:35:00,914.4,930,109,0,15.6
2020-10-12 15:30:00,915.6,"1,123.2",109,0,207.6
2020-10-12 15:25:00,"1,592.4","1,306.8",109,285.6,0
2020-10-12 15:20:00,864,"1,382.4",109,0,518.4
2020-10-12 15:15:00,"1,424.4","1,324.8",109,98.4,0
2020-10-12 15:10:00,"2,365.2","1,281.6",109,"1,083.6",0
2020-10-12 15:05:00,"2,526","1,218",109,"1,308",0
2020-10-12 15:00:00,"1,687.2","1,681.2",109,7.2,0
2020-10-12 14:55:00,"1,018.8","2,592",109,0,"1,574.4"
2020-10-12 14:50:00,"1,525.2","2,438.4",109,0,912
2020-10-12 14:45:00,"1,509.6","2,209.2",109,0,699.6
2020-10-12 14:40:00,"1,624.8","2,614.8",109,0,990
2020-10-12 14:35:00,"1,519.2","3,930",109,0,"2,412"
2020-10-12 14:30:00,"1,478.4","4,280.4",109,0,"2,802"
2020-10-12 14:25:00,992.4,"4,470",109,0,"3,477.6"
2020-10-12 14:20:00,"1,010.4","3,843.6",109,0,"2,833.2"
2020-10-12 14:15:00,818.4,"4,143.6",109,0,"3,325.2"
2020-10-12 14:10:00,"1,012.8","3,715.2",109,0,"2,702.4"
2020-10-12 14:05:00,"1,047.6","3,092.4",109,0,"2,043.6"
2020-10-12 14:00:00,"1,053.6","2,817.6",109,0,"1,764"
2020-10-12 13:55:00,"1,020","3,492",109,0,"2,472"
2020-10-12 13:50:00,"1,174.8","2,256",109,0,"1,081.2"
2020-10-12 13:45:00,"1,126.8","2,294.4",109,0,"1,167.6"
2020-10-12 13:40:00,"2,250","3,232.8",109,0,982.8
2020-10-12 13:35:00,"1,778.4","3,279.6",109,0,"1,501.2"
2020-10-12 13:30:00,"1,035.6","3,265.2",109,0,"2,229.6"
2020-10-12 13:25:00,"1,030.8","3,408",109,0,"2,376"
2020-10-12 13:20:00,"1,062","3,102",109,0,"2,040"
2020-10-12 13:15:00,"1,104","2,846.4",109,0,"1,741.2"
2020-10-12 13:10:00,"1,092","2,932.8",109,0,"1,840.8"
2020-10-12 13:05:00,"1,020","3,283.2",109,0,"2,263.2"
2020-10-12 13:00:00,931.2,"3,652.8",109,0,"2,720.4"
2020-10-12 12:55:00,112.8,"3,844.8",109,0,"3,732"
2020-10-12 12:50:00,112.8,"3,481.2",109,0,"3,368.4"
2020-10-12 12:45:00,128.4,"3,513.6",109,0,"3,384"
2020-10-12 12:40:00,141.6,"3,469.2",109,0,"3,327.6"
2020-10-12 12:35:00,142.8,"3,220.8",109,0,"3,079.2"
2020-10-12 12:30:00,139.2,"3,038.4",109,0,"2,900.4"
2020-10-12 12:25:00,112.8,"2,905.2",109,0,"2,792.4"
2020-10-12 12:20:00,112.8,"2,900.4",109,0,"2,787.6"
2020-10-12 12:15:00,112.8,"2,691.6",109,0,"2,578.8"
2020-10-12 12:10:00,132,"2,647.2",109,0,"2,515.2"
2020-10-12 12:05:00,140.4,"2,463.6",109,0,"2,323.2"
2020-10-12 12:00:00,141.6,"2,280",109,0,"2,138.4"
2020-10-12 11:55:00,132,"2,232",109,0,"2,098.8"
2020-10-12 11:50:00,111.6,"2,304",111,0,"2,192.4"
2020-10-12 11:45:00,111.6,"2,205.6",111,0,"2,094"
2020-10-12 11:40:00,111.6,"2,331.6",111,0,"2,221.2"
2020-10-12 11:35:00,141.6,"2,157.6",111,0,"2,016"
2020-10-12 11:30:00,640.8,"2,208",111,0,"1,567.2"
2020-10-12 11:25:00,"1,747.2","2,358",111,0,612
2020-10-12 11:20:00,126,"2,494.8",111,0,"2,368.8"
2020-10-12 11:15:00,110.4,"2,133.6",111,0,"2,024.4"
2020-10-12 11:10:00,114,"1,834.8",111,0,"1,720.8"
2020-10-12 11:05:00,138,"1,633.2",111,0,"1,496.4"
2020-10-12 11:00:00,188.4,"1,567.2",111,0,"1,378.8"
2020-10-12 10:55:00,184.8,"1,599.6",111,0,"1,414.8"
2020-10-12 10:50:00,164.4,"1,810.8",115,0,"1,647.6"
2020-10-12 10:45:00,127.2,"2,176.8",115,0,"2,048.4"
2020-10-12 10:40:00,115.2,"2,263.2",115,0,"2,148"
2020-10-12 10:35:00,112.8,"2,344.8",115,0,"2,232"
2020-10-12 10:30:00,118.8,"2,088",115,0,"1,969.2"
2020-10-12 10:25:00,151.2,"1,706.4",115,0,"1,555.2"
2020-10-12 10:20:00,183.6,"1,509.6",115,0,"1,326"
2020-10-12 10:15:00,193.2,"1,518",115,0,"1,326"
2020-10-12 10:10:00,174,"1,288.8",115,0,"1,114.8"
2020-10-12 10:05:00,129.6,"1,539.6",115,0,"1,410"
2020-10-12 10:00:00,133.2,"1,635.6",115,0,"1,502.4"
2020-10-12 09:55:00,170.4,"1,575.6",115,0,"1,405.2"
2020-10-12 09:50:00,231.6,"1,171.2",115,0,939.6
2020-10-12 09:45:00,237.6,854.4,115,0,616.8
2020-10-12 09:40:00,219.6,"1,152",115,0,932.4
2020-10-12 09:35:00,193.2,"1,165.2",115,0,972
2020-10-12 09:30:00,212.4,"1,177.2",115,0,964.8
2020-10-12 09:25:00,189.6,"1,502.4",115,0,"1,311.6"
2020-10-12 09:20:00,"1,436.4","1,317.6",115,120,0
2020-10-12 09:15:00,"2,376",771.6,115,"1,605.6",0
2020-10-12 09:10:00,"2,427.6",412.8,115,"2,014.8",0
2020-10-12 09:05:00,"2,090.4",304.8,115,"1,786.8",0
2020-10-12 09:00:00,362.4,265.2,115,97.2,0
2020-10-12 08:55:00,393.6,240,115,153.6,0
2020-10-12 08:50:00,414,181.2,115,231.6,0
2020-10-12 08:45:00,434.4,129.6,115,304.8,0
2020-10-12 08:40:00,564,109.2,115,454.8,0
2020-10-12 08:35:00,"1,269.6",32.4,115,"1,233.6",0
2020-10-12 08:30:00,"1,903.2",4.8,115,"1,892.4",0
2020-10-12 08:25:00,"1,849.2",0,115,"1,844.4",0
2020-10-12 08:20:00,"2,161.2",0,115,"2,156.4",0
2020-10-12 08:15:00,"3,262.8",0,115,"3,258",0
2020-10-12 08:10:00,"2,451.6",0,115,"2,446.8",0
2020-10-12 08:05:00,"1,964.4",0,115,"1,959.6",0
2020-10-12 08:00:00,"2,650.8",0,115,"2,646",0
2020-10-12 07:55:00,"2,416.8",0,115,"2,413.2",0
2020-10-12 07:50:00,"4,708.8",0,115,"4,705.2",0
2020-10-12 07:45:00,"6,795.6",0,115,"6,790.8",0
2020-10-12 07:40:00,"4,412.4",0,115,"4,407.6",0
2020-10-12 07:35:00,"4,443.6",0,115,"4,440",0
2020-10-12 07:30:00,"5,500.8",0,115,"5,496",0
2020-10-12 07:25:00,"5,960.4",0,115,"5,955.6",0
2020-10-12 07:20:00,"5,130",0,115,"5,126.4",0
2020-10-12 07:15:00,"5,851.2",0,115,"5,847.6",0
2020-10-12 07:10:00,"5,796",0,115,"5,791.2",0
2020-10-12 07:05:00,"5,760",0,115,"5,755.2",0
2020-10-12 07:00:00,"4,341.6",0,115,"4,336.8",0
2020-10-12 06:55:00,"4,656",0,115,"4,651.2",0
2020-10-12 06:50:00,"4,154.4",0,115,"4,150.8",0
2020-10-12 06:45:00,"3,765.6",0,115,"3,760.8",0
2020-10-12 06:40:00,"2,926.8",0,115,"2,922",0
2020-10-12 06:35:00,"3,795.6",0,115,"3,790.8",0
2020-10-12 06:30:00,"5,223.6",0,115,"5,218.8",0
2020-10-12 06:25:00,"3,670.8",0,115,"3,667.2",0
2020-10-12 06:20:00,"2,850",0,115,"2,845.2",0
2020-10-12 06:15:00,"3,246",0,115,"3,241.2",0
2020-10-12 06:10:00,"3,799.2",0,115,"3,794.4",0
2020-10-12 06:05:00,"4,150.8",0,115,"4,146",0
2020-10-12 06:00:00,"2,536.8",0,115,"2,532",0
2020-10-12 05:55:00,"2,355.6",0,115,"2,352",0
2020-10-12 05:50:00,"2,797.2",0,115,"2,793.6",0
2020-10-12 05:45:00,"2,757.6",0,115,"2,754",0
2020-10-12 05:40:00,"1,062",0,115,"1,057.2",0
2020-10-12 05:35:00,"1,315.2",0,115,"1,310.4",0
2020-10-12 05:30:00,"1,785.6",0,115,"1,782",0
2020-10-12 05:25:00,"1,830",0,115,"1,825.2",0
2020-10-12 05:20:00,"1,070.4",0,115,"1,066.8",0
2020-10-12 05:15:00,"1,351.2",0,115,"1,346.4",0
2020-10-12 05:10:00,"1,821.6",0,115,"1,818",0
2020-10-12 05:05:00,"1,840.8",0,115,"1,836",0
2020-10-12 05:00:00,986.4,0,115,981.6,0
2020-10-12 04:55:00,"1,069.2",0,115,"1,065.6",0
2020-10-12 04:50:00,"1,167.6",0,115,"1,162.8",0
2020-10-12 04:45:00,"1,201.2",0,115,"1,197.6",0
2020-10-12 04:40:00,417.6,0,115,414,0
2020-10-12 04:35:00,391.2,0,115,386.4,0
2020-10-12 04:30:00,357.6,0,115,354,0
2020-10-12 04:25:00,336,0,115,332.4,0
2020-10-12 04:20:00,376.8,0,115,373.2,0
2020-10-12 04:15:00,"2,143.2",0,115,"2,139.6",0
2020-10-12 04:10:00,848.4,0,115,844.8,0
2020-10-12 04:05:00,402,0,115,398.4,0
2020-10-12 04:00:00,427.2,0,115,423.6,0
2020-10-12 03:55:00,423.6,0,115,420,0
2020-10-12 03:50:00,375.6,0,115,372,0
2020-10-12 03:45:00,316.8,0,115,313.2,0
2020-10-12 03:40:00,330,0,115,326.4,0
2020-10-12 03:35:00,394.8,0,115,390,0
2020-10-12 03:30:00,422.4,0,115,417.6,0
2020-10-12 03:25:00,410.4,0,115,406.8,0
2020-10-12 03:20:00,376.8,0,115,373.2,0
2020-10-12 03:15:00,373.2,0,115,368.4,0
2020-10-12 03:10:00,385.2,0,115,380.4,0
2020-10-12 03:05:00,380.4,0,115,376.8,0
2020-10-12 03:00:00,408,0,115,404.4,0
2020-10-12 02:55:00,414,0,115,410.4,0
2020-10-12 02:50:00,402,0,115,398.4,0
2020-10-12 02:45:00,376.8,0,115,372,0
2020-10-12 02:40:00,339.6,0,115,334.8,0
2020-10-12 02:35:00,334.8,0,115,331.2,0
2020-10-12 02:30:00,373.2,0,115,368.4,0
2020-10-12 02:25:00,434.4,0,115,429.6,0
2020-10-12 02:20:00,435.6,0,115,432,0
